ставка_№,банк_до,пик_до,ставка_абс,ставка_%живого,исход,банк_после,DD_от_пика_%
5423,656.2795,2291.6558,6.5628,1.0000,WIN,662.8423,-71.36
5424,662.8423,2291.6558,6.6284,1.0000,WIN,669.4707,-71.08
5425,669.4707,2291.6558,6.6947,1.0000,LOSS,662.7760,-70.79
5426,662.7760,2291.6558,6.6278,1.0000,LOSS,656.1482,-71.08
5427,656.1482,2291.6558,6.5615,1.0000,WIN,662.7097,-71.37
5428,662.7097,2291.6558,6.6271,1.0000,WIN,669.3368,-71.08
5429,669.3368,2291.6558,6.6934,1.0000,WIN,676.0302,-70.79
5430,676.0302,2291.6558,6.7603,1.0000,LOSS,669.2699,-70.50
5431,669.2699,2291.6558,6.6927,1.0000,LOSS,662.5772,-70.80
5432,662.5772,2291.6558,6.6258,1.0000,WIN,669.2029,-71.09
5433,669.2029,2291.6558,6.6920,1.0000,LOSS,662.5109,-70.80
5434,662.5109,2291.6558,6.6251,1.0000,WIN,669.1360,-71.09
5435,669.1360,2291.6558,6.6914,1.0000,WIN,675.8274,-70.80
5436,675.8274,2291.6558,6.7583,1.0000,LOSS,669.0691,-70.51
5437,669.0691,2291.6558,6.6907,1.0000,WIN,675.7598,-70.80
5438,675.7598,2291.6558,6.7576,1.0000,WIN,682.5174,-70.51
5439,682.5174,2291.6558,6.8252,1.0000,WIN,689.3426,-70.22
5440,689.3426,2291.6558,6.8934,1.0000,LOSS,682.4491,-69.92
5441,682.4491,2291.6558,6.8245,1.0000,LOSS,675.6247,-70.22
5442,675.6247,2291.6558,6.7562,1.0000,WIN,682.3809,-70.52
5443,682.3809,2291.6558,6.8238,1.0000,WIN,689.2047,-70.22
5444,689.2047,2291.6558,6.8920,1.0000,LOSS,682.3127,-69.93
5445,682.3127,2291.6558,6.8231,1.0000,WIN,689.1358,-70.23
5446,689.1358,2291.6558,6.8914,1.0000,WIN,696.0271,-69.93
5447,696.0271,2291.6558,6.9603,1.0000,LOSS,689.0669,-69.63
5448,689.0669,2291.6558,6.8907,1.0000,LOSS,682.1762,-69.93
5449,682.1762,2291.6558,6.8218,1.0000,LOSS,675.3544,-70.23
5450,675.3544,2291.6558,6.7535,1.0000,LOSS,668.6009,-70.53
5451,668.6009,2291.6558,6.6860,1.0000,WIN,675.2869,-70.82
5452,675.2869,2291.6558,6.7529,1.0000,WIN,682.0398,-70.53
5453,682.0398,2291.6558,6.8204,1.0000,WIN,688.8602,-70.24
5454,688.8602,2291.6558,6.8886,1.0000,WIN,695.7488,-69.94
5455,695.7488,2291.6558,6.9575,1.0000,LOSS,688.7913,-69.64
5456,688.7913,2291.6558,6.8879,1.0000,LOSS,681.9034,-69.94
5457,681.9034,2291.6558,6.8190,1.0000,WIN,688.7224,-70.24
5458,688.7224,2291.6558,6.8872,1.0000,LOSS,681.8352,-69.95
5459,681.8352,2291.6558,6.8184,1.0000,WIN,688.6535,-70.25
5460,688.6535,2291.6558,6.8865,1.0000,LOSS,681.7670,-69.95
5461,681.7670,2291.6558,6.8177,1.0000,LOSS,674.9493,-70.25
5462,674.9493,2291.6558,6.7495,1.0000,LOSS,668.1998,-70.55
5463,668.1998,2291.6558,6.6820,1.0000,WIN,674.8818,-70.84
